,Text
0,"['$~40', '*', 'In', 'The', 'High', 'Court', 'Of', 'Delhi', 'At', 'New', 'Delhi', '%', 'Decided', 'on:', '31.07.2019', '+', 'Mac.App.', '976/2018', '&', 'Cm', 'Nos.', '46122/2018,', '15243/2019,', '34195/2019', 'Oriental', 'Insurance', 'Co', 'Ltd.', '.....', 'Appellant', 'Through:', 'Mr.', 'S.P.', 'Jain,', 'Mr.', 'Himanshu', 'Gambhir,', 'Mr.', 'Nar', 'Singh', 'and', 'Mr.', 'Pushkar', 'Singh', 'Kanwal,', 'Advocates.', 'Versus', 'Zaixhu', 'Xie', '&', 'Ors', '(M/S', 'Qualcomm', 'India', 'Pvt', 'Ltd', ')', '.....', 'Respondents', 'Through:', 'Mr.', 'Arvind', 'Chaudhary,', 'Advocate', 'for', 'Respondent', 'Nos.', '1&', '2.', 'Mr.', 'Ram', 'Kawar,', 'Advocate', 'for', 'Mr.', 'Amit', 'Kumar', 'Gupta,', 'Advocate', 'for', 'Respondent', 'No.4.', 'Coram:', ""Hon'Ble"", 'Mr.', 'Justice', 'Najmi', 'Waziri', 'Najmi', 'Waziri,', 'J.', '(Oral)']"
1,"['1', 'Reportable', 'In', 'The', 'Supreme', 'Court', 'Of', 'India', 'Civil', 'Appellate', 'Jurisdiction', 'Civil', 'Appeal', 'No.', '706', 'Of', '2021', '(Arising', 'Out', 'Of', 'Slp(C)No.24950', 'Of', '2015)', 'Parmar', 'Samantsinh', 'Umedsinh', '…', 'Appellant', 'Vs.', 'State', 'Of', 'Gujarat', '&', 'Ors.', '…', 'Respondents', 'With', 'Civil', 'Appeal', 'No.', '707', 'Of', '2021', '(Arising', 'Out', 'Of', 'Slp(C)No.30635', 'Of', '2015)', 'State', 'Election', 'Commission', '…', 'Appellant', 'Vs.', 'Virendrasinh', 'Mafaji', 'Vaghela', '&', 'Ors.', '…', 'Respondents', 'With', 'Writ', 'Petition', '(C)No.786', 'Of', '2020', 'Narendra', 'Kumar', 'Ambalal', 'Ravat', '…', 'Appellant', 'Vs.', 'State', 'Of', 'Gujarat', '&', 'Ors.', '…', 'Respondents', 'J', 'U', 'D', 'G', 'M', 'E', 'N', 'T']"
2,"['R/Scr.A/9089/2017', 'Judgment', 'In', 'The', 'High', 'Court', 'Of', 'Gujarat', 'At', 'Ahmedabad', 'Special', 'Criminal', 'Application', 'No.', '9089', 'of', '2017', 'For', 'Approval', 'And', 'Signature:', 'Honourable', 'Mr.Justice', 'J.B.Pardiwala', 'Sd/-', '==========================================================', '1', 'Whether', 'Reporters', 'of', 'Local', 'Papers', 'may', 'be', 'allowed', 'to', 'see', 'the', 'Yes', 'judgment', '?', '2', 'To', 'be', 'referred', 'to', 'the', 'Reporter', 'or', 'not', '?', 'Yes', '3', 'Whether', 'their', 'Lordships', 'wish', 'to', 'see', 'the', 'fair', 'copy', 'of', 'the', 'No', 'judgment', '?', '4', 'Whether', 'this', 'case', 'involves', 'a', 'substantial', 'question', 'of', 'law', 'as', 'to', 'No', 'the', 'interpretation', 'of', 'the', 'Constitution', 'of', 'India', 'or', 'any', 'order', 'made', 'thereunder', '?', 'Circulate', 'this', 'Judgment', 'in', 'the', 'Subordinate', 'Judiciary.', '==========================================================', 'Harishankar', 'Gayaprasad', 'Jaiswal....', 'Petitioner', 'Versus', 'State', 'Of', 'Gujarat', '&', '3....', 'Respondents', '==========================================================', 'Appearance:', 'Mr', 'H', 'N', 'Sevak', 'for', 'the', 'PETITIONER(s)', 'No.', '1', 'Ms', 'Moxa', 'Thakkar,', 'App', 'for', 'the', 'RESPONDENT(s)', 'No.', '1', '==========================================================', 'Coram:', 'Honourable', 'Mr.Justice', 'J.B.Pardiwala', 'Date', ':', '08/03/2018', 'Oral', 'Judgment']"
3,"['High', 'Court', 'Of', 'Judicature', 'For', 'Rajasthan', 'Bench', 'At', 'Jaipur', 'S.B.', 'Civil', 'First', 'Appeal', 'No.86/1979', 'Pt.', 'Bansidhar', 'Sharma', 'Devagya', '(since', 'deceased)', 'represented', 'by', '1/1.', 'Vijay', 'Kumar', 'Sharma)', '1/2.', 'Mohan', 'Lal', 'Sharma', ')', 'Sons', 'of', 'Shri', 'Bansidhar', '1/3.', 'Purshottam', ')', '1/4.', 'Smt.', 'Krishan', 'Kanta', 'Misra', 'W/o', 'Shri', 'Mahesh', 'Kumar', 'Misra', 'd/o', 'Shri', 'Bansidhar', 'Sharma', 'All', 'residents', 'of', 'Baiji', 'Ka', 'Mandir,', 'Manak', 'Chowk', 'Chaupar,', 'Jaipur.', '----Appellants', 'Versus', '1.', 'The', 'State', 'of', 'Rajasthan.', '2.', 'The', 'Commissioner,', 'Devasthan,', 'Rajasthan,', 'Jaipur.', '3.', 'The', 'Collector,', 'Jaipur', 'District,', 'Jaipur.', '----Respondents']"
4,"['1', 'In', 'The', 'High', 'Court', 'Of', 'Judicature', 'At', 'Madras', 'Dated:', '04', '/', '10', '/2019', 'Coram', 'The', ""Hon'Ble"", 'Mr.Justice', 'S.Manikumar', 'And', 'The', ""Hon'Ble"", 'Mr.Justice', 'Subramonium', 'Prasad', 'Writ', 'Petition', 'Nos.15304,', '17384,', '18264,', '19596,', '21299', '&', '21917', 'of', '2019', 'and', 'WMP.Nos.17623,', '21215', '&', '20518', 'of', '2019', 'WP.No.15304', 'of', '2019', 'Mrs.V.Sheela', '...', 'Petitioner', 'Vs', '1.', 'The', 'District', 'Collector,', 'Thiruvallur', 'District.', '2.', 'The', 'Tahsildar,', 'Poonamallee.', '3.', 'Block', 'Development', 'Officer,', 'Poonamallee.', '4.', 'The', 'Executive', 'Engineer,', 'Chennai', 'Metrological', 'Water', 'Supply', 'and', 'Sewage', 'Board,', 'Chintadripet,', 'Chennai', '-', '600', '002.', '5.', 'Mr.Devaraj', '...', 'Respondents', 'Prayer', 'in', 'WP.No.15304', 'of', '2019:', 'Petition', 'filed', 'under', 'Article', '226', 'of', 'the', 'Constitution', 'of', 'India', 'praying', 'for', 'the', 'issuance', 'of', 'a', 'writ', 'of', 'mandamus', 'to', 'http://www.judis.nic.in', 'direct', 'the', 'respondents', '1', 'to', '4', 'to', 'take', 'necessary', 'action', 'against', 'the', 'illegal', 'extraction', 'of', 'ground', 'water', 'without', 'proper', 'approval', 'from', 'authorities', 'concerned', 'at', 'vacant', 'land', 'owned', 'by', '5th', 'respondent', 'which', 'is', 'situated', 'at', 'near', 'Om', 'Sakthi', 'Hotel,', 'Selliyamman', 'Koil', 'Street,', 'Gopurasanallur,', 'Kattupakkam,', 'Chennai-56', 'by', 'considering', 'representation', 'dated', '19.04.2019.', 'Mr.UM.Ravichandran', 'for', 'R5', '(in', 'WP.No.15304/19)', 'Mr.K.Soundararajan', 'for', 'R4', '&', 'R5', '(in', 'WP.No.17384/2019)', 'Mr.G.Janakiraman', 'for', 'R2', '(in', 'WP.No.18264/19)', 'Mr.C.Prabakaran', 'for', 'R9', '(in', 'WP.No.18264/19)', 'Mr.', 'Rameshwar,TNEB', '-', 'R6', '(in', 'WP.No.21299/19)', 'Mr.L.Chandrakumar', '(Advocate', 'Commissioner)', 'Common', 'Order']"
5,"['W.P.(MD).Nos.17981,', '17982', 'and', '17983', 'of', '2017,', '17297,', '17298', 'and', '17299', 'of', '2015', 'Before', 'The', 'Madurai', 'Bench', 'Of', 'Madras', 'High', 'Court', 'Dated:', '07.08.2019', 'Coram:', 'The', 'Honourable', 'Mr.Justice', 'S.M.Subramaniam', 'W.P.(MD).Nos.17981,', '17982', 'and', '17983', 'of', '2017,', '17297,', '17298', 'and', '17299', 'of', '2015', 'and', 'MP(MD)Nos.1,1,1,2,2', 'and', '2', 'of', '2015', 'W.P.(MD).No.17981', 'of', '2015', 'G.Balasubramanian', '...', 'Petitioner', '-Vs-', '1.The', 'Government', 'of', 'Tamil', 'Nadu,', 'Rep.', 'by', 'its', 'Secretary,', 'Department', 'of', 'Health', 'and', 'Family', 'Welfare,', 'Fort', 'St.', 'George,', 'Chennai.', '2.The', 'Secretary/Additional', 'Director,', 'Department', 'of', 'Finance,', 'Fort', 'St.', 'George,', 'Chennai.', '3.The', 'Director', 'of', 'Medical', 'Education,', 'Kilpauk,', 'Chennai.', '4.The', 'Dean,', 'Thoothukudi', 'Government', 'Medical', 'College,', 'Thoothukudi', 'District.', '...', 'Respondents']"
6,"['In', 'The', 'High', 'Court', 'Of', 'Kerala', 'At', 'Ernakulam', 'Present', 'The', 'Honourable', 'Mr.', 'Justice', 'Anil', 'K.Narendran', '&', 'The', 'Honourable', 'Mrs.', 'Justice', 'M.R.Anitha', 'Tuesday,', 'The', '7Th', 'Day', 'Of', 'September', '2021', '/', '16Th', 'Bhadra,', '1943', 'Rcrev.', 'No.', '164', 'Of', '2020', 'Rca', '11/2019', 'Of', 'Additional', 'District', 'Court', '&', 'Rent', 'Control', 'Appellate', 'Authority,', 'North', 'Paravur,', 'Ernakulam', 'Revision', 'Petitioners/Appellants/Respondents', '1', 'Simon', 'K.J.', 'Aged', '69', 'Years', 'S/O', 'Joseph,', 'Kunnant', 'House,', 'Chirakkakam', 'P.O.Varappuzha-683', '517,', 'Ernakulam', 'District', '2', 'Friends', 'Arts', 'Club,', 'Regd', 'No', 'E.R.30/73,', 'Chirakkakam', 'Village,', 'Represented', 'By', 'Its', 'Present', 'Secretary,', 'K.J.', 'Simon', '3', 'Friends', 'Arts', 'Club,', 'Regd', 'No', 'E', 'R', '30/73,', 'Chirakkakam', 'Village,', 'Represented', 'By', 'Its', 'Present', 'Treasurer,', 'K', 'Sasidharan.', '4', 'Friends', 'Arts', 'Club,', 'Regd', 'No', 'E.R', '30/73,', 'Chirakkakam,', 'Varappuzha', 'P.O.Represented', 'By', 'Its', 'Present', 'President,', 'K.B.', 'Saraf,', 'Aged', '70', 'Years,', 'S/O', 'Bava,', 'Kunnanattu', 'Veettil,', 'Chariyamthuruthu', 'Kara,', 'Kadamakkudy', 'Village,', 'Kanayannur', 'Taluk', 'By', 'Adv', 'Deepak', 'Joy.K.', 'Respondents/Respondents/Petitioners', '1', 'Mangamma', '@', 'Brejith', 'Andrews', 'Aged', '64', 'Years', 'W/O', 'Late', 'Andrews,', 'Kunnat', 'House,', 'Varappuzha,', 'Ernakulam', 'District,', 'Now', 'Residing', 'At', 'Vettikuzha', 'House,', 'Chelad', 'P.O.Kothamangalam,', 'Ernakulam', 'District,', 'Pin-686', '692.', 'R.C.R.No.164', 'of', '2020', '2', '2', 'Ginu', 'Andrews,', 'Aged', '31', 'Years', 'S/O', 'Late', 'Andrews,', 'Kunnat', 'House,', 'Varappuzha,', 'Ernakulam', 'District,', 'Now', 'Residing', 'At', 'Vettikuzha', 'House,', 'Chelad', 'P.O.Kothamangalam,', 'Ernakulam', 'District,', 'Pin-686', '692.', 'By', 'Adv', 'Sri.Alexander', 'Joseph', 'This', 'Rent', 'Control', 'Revision', 'Having', 'Been', 'Finally', 'Heard', 'On', '2.8.2021,The', 'Court', 'On', '7.9.2021', 'Delivered', 'The', 'Following:', 'R.C.R.No.164', 'of', '2020', '3', 'Order']"
7,"['In', 'The', 'Court', 'Of', 'Ms.', 'Bharti', 'Garg,', 'Metropolitan', 'Magistrate\xad09,', 'South\xadWest', 'District,', 'Dwarka', 'Courts,', 'New', 'Delhi', 'Fir', 'No.', '105/19', 'Ps', 'Domestic', 'Airport', 'Under', 'Section', '4', '(a)', 'Dpt', 'Mt', 'Act', 'Cr.', 'Case', 'no.', '16812/19', 'Cnr', 'no.', 'Dlsw020504172019', 'In', 'The', 'Matter', 'Of:\xad', 'State', '...........Prosecution', 'Vs.', 'Manish', '@', 'Tolly', 'S/o', 'Sh.', 'Babu', 'Lal', 'R/o', 'H.', 'no.9/60,', 'East', 'Mehram', 'Nagar,', 'Delhi.', '.............Accused', '1.', 'Name', 'of', 'complainant', ':', 'Ct.', 'Ram', 'Raj', 'no.330\xadA', '2.', 'Name', 'of', 'accused', ':', 'Manish', '@', 'Tolly', '3.', 'Offence', 'complained', 'of', ':', 'Under', 'Section', '4(a),', 'The', 'Delhi', 'Prevention', 'of', 'Touting', 'and', 'Malpractices', 'against', 'Tourist', 'Act,', '2010.', '4.', 'Plea', 'of', 'accused', ':', 'Not', 'guilty', '5.', 'Date', 'of', 'commission', 'of', 'offence', ':', '19.08.2019', '6.', 'Date', 'of', 'institution', 'of', 'case', ':', '28.09.2019', '7.', 'Date', 'of', 'reserving', 'judgment', ':', '13.12.2021', '8.', 'Date', 'of', 'pronouncement', ':', '17.12.2021', '9.', 'Final', 'judgment', ':', 'Acquitted', 'State', 'Vs.', 'Manish', '@', 'Tolly', 'Cnr', 'no.', 'Dlsw020504172019', 'Page', 'no.1/8', 'Judgment']"
8,"['The', ""Hon'Ble"", 'Sri', 'Justice', 'M.', 'Seetharama', 'Murti', 'Writ', 'Petition', 'No.22851', 'of', '2018', '13.08.2018', 'M/s.', 'Bhaskara', 'Wines', 'I', '.', 'Petitioner', 'The', 'State', 'of', 'A.P.', 'rep.,', 'by', 'its', 'Principal', 'Secretary,', 'Revenue', 'Department', '(Excise),', 'Secretariat,', 'Velagapudi,', 'Guntur', 'District', '&', 'Counsel', 'for', 'the', 'petitioner:', 'Sri', 'K.', 'Venugopal', 'Reddy', 'Counsel', 'for', 'the', 'Respondents', '1', 'to', '4', ':', 'Government', 'Pleader', 'for', 'Proh.&', 'Excise', 'Counsel', 'for', 'the', 'respondent', 'no.5', ':', 'Sri', 'N.', 'Siva', 'Reddy', '<Gist', ':', '>Head', 'Note:', '?', 'Cases', 'referred:', '1.1996(1)', 'Ald', '476', '(Db)', '2.2003', '(4)', 'Ald', '519', '3.2008(1)', 'Ald', '138', '4.Air', '2008', 'Sc', '2594', '5.2007(3)', 'Ald', '128', '(Db)', 'The', 'Honble', 'Sri', 'Justice', 'M.Seetharama', 'Murti', 'Writ', 'Petition', 'No.22851', 'of', '2018', 'Order']"
9,"['1', 'Reportable', 'In', 'The', 'Supreme', 'Court', 'Of', 'India', 'Civil', 'Appellate', 'Jurisdiction', 'Civil', 'Appeal', 'Nos.', '5299-5304', 'Of', '2003', 'M/S.', 'Tata', 'Motors', 'Limited', '.....Appellant(S)', 'Versus', 'State', 'Of', 'Jharkhand', 'And', 'Others', '.....Respondent(S)', 'With', 'Civil', 'Appeal', 'No.', '6591', 'Of', '2003', 'And', 'Civil', 'Appeal', 'Nos.', '8-12', 'Of', '2004', 'Judgment']"
